,0
915056,0
3549288,0
9448224,0
1777712,0
12440904,0
3242249,0
15745013,0
2969615,0
5747216,0
15081772,0
13128622,0
6325941,0
11989672,0
15948339,0
8881361,0
16003871,0
14345590,0
12142755,0
248099,0
4890299,0
13893071,0
12298949,0
3186657,0
13239969,0
12537801,0
15052228,0
9184980,0
16411939,0
10096931,0
10191416,0
14077873,0
3911406,0
10139967,0
6584565,0
15790200,0
2071421,0
11033069,0
13515325,0
15289641,0
7978746,0
347548,0
6326879,0
13646821,0
13411296,0
16297622,0
12308175,0
2805623,0
15359384,0
9830845,0
5319879,0
16300735,0
7816629,0
1276170,0
7908369,0
4561150,0
15212410,0
2777573,0
5899944,0
14380477,0
9565957,0
16733489,0
3731826,0
14109330,0
627766,0
1077169,0
16162068,0
15945135,0
14820072,0
12146951,0
10454529,0
16072837,0
290674,0
16718981,0
11996914,0
5915065,0
8899718,0
14071316,0
16346205,0
11295329,0
16823911,0
13770086,0
7601123,0
13815234,0
10001967,0
4734956,0
9267454,0
3568618,0
8538413,0
440276,0
11315673,0
4533663,0
11677268,0
2895386,0
14703621,0
154007,0
11473144,0
15501246,0
6034186,0
7839527,0
16200258,0
14316587,0
5425834,0
15015760,0
9971326,0
223340,0
15485100,0
16485837,0
8508431,0
2043691,0
6013645,0
1620185,0
13320103,0
9686332,0
15374675,0
12674257,0
11387618,0
15819240,0
14829493,0
16679631,0
1775128,0
1686258,0
4891547,0
10438003,0
16469844,0
13924936,0
7172650,0
12893099,0
14882038,0
15036074,0
12664248,0
14778705,0
10076666,0
16153587,0
15768108,0
12980055,0
12989350,0
10841964,0
15090935,0
4556882,0
9724410,0
12595659,0
14501945,0
14219835,0
1570719,0
15671501,0
15488686,0
13129796,0
11995626,0
124334,0
15716715,0
15830927,0
5064046,0
12228425,0
14095921,0
16221823,0
10387364,0
15837951,0
13470135,0
16176168,0
13551154,0
4868395,0
6131222,0
10985906,0
4373187,0
3933644,0
A000004F540B15,0
12339169,0
13647886,0
7348832,0
13576473,0
5305272,0
16356951,0
16133145,0
11533849,0
12509302,0
14466985,0
4961428,0
10667536,0
15998326,0
8169508,0
7587342,0
487794,0
9891513,0
3643339,0
6934231,0
16811130,0
16412726,0
14747158,0
15860078,0
4429041,0
11758560,0
15708024,0
16260588,0
1704327,0
3481787,0
1547978,0
16404105,0
9059501,0
3929780,0
14081179,0
3121053,0
16212774,0
11079441,0
16001192,0
15976194,0
11909453,0
7915975,0
295527,0
11676408,0
12649822,0
12431632,0
2915927,0
16168030,0
13334089,0
5424208,0
10546076,0
6620464,0
13442297,0
16578733,0
16212779,0
8345409,0
4625188,0
14603694,0
16395350,0
13799663,0
4306099,0
186801,0
7994897,0
15003569,0
13857964,0
12102706,0
13623477,0
5691957,0
12461333,0
11077017,0
4562022,0
11778900,0
5940998,0
11212431,0
16653222,0
